,Fires..age.adjusted.mortality.per.100.000,Drownings..age.adjusted.mortality.per.100.000,Poisonings..age.adjusted.mortality.per.100.000,Falls..age.adjusted.mortality.per.100.000,Total.Cholesterol(F)..mmol.L.,Total.Cholesterol(M)..mmol.L.,Average.Systolic.BP(F)..mm.Hg.,Average.Systolic.BP(M)..mm.Hg.,Female.BMI,Male.BMI,General.government.expenditure.on.health.as.percentage.of.total.government.expenditure,Total.expenditure.on.health.as.percentage.of.GDP..gross.domestic.product.,Per.capita.total.expenditure.on.health.at.average.exchange.rate..US..,Per.capita.total.expenditure.on.health..PPP.int....,One.year.olds.immunized.with.MCV....,One.year.olds.immunized.with.three.doses.of.diphtheria.tetanus.toxoid.and.pertussis..DTP3.....
Nigeria,6.928142,20.27499,8.717734,5.606611,4.110205,3.73375,134.2376,130.5772,23.24367,22.37732,3.11285416,3.9,17.8047441,52.78825541,30,25
Norway,0.9678244,1.207333,1.122092,8.234253,5.410416,5.49593,127.886,135.1163,25.32467,26.28499,17.36921669,9.8,4140.058432,3627.776036,87,93
Oman,0.8300055,3.681611,0.868745,3.362102,5.110034,4.989669,128.2915,129.4204,26.41259,25.58856,6.99464249,3.2,277.7094179,749.6850027,99,99
Pakistan,12.91973,5.832091,6.721104,12.92274,4.591925,4.521875,126.2059,125.6497,23.07639,22.06815,2.86194076,3,14.78646255,51.29170925,63,68
Palau,3.456972,4.911313,3.787551,0.0326177,5.134156,5.119365,125.2672,130.8117,30.52967,29.2188,12.56625,10.4,635.3579239,1152.801898,99,99
Panama,0.6383528,4.928115,0.4324866,4.00434,4.912917,4.736033,123.0864,128.5271,26.76206,25.5437,10.91469088,8,321.0688131,595.6619375,95,99
Papua New Guinea,9.069076,7.282183,5.651526,10.1018,4.705356,4.637928,118.3149,122.0825,24.85481,24.50827,11.39278017,4.5,24.06136294,77.49538602,61,61
Paraguay,1.760692,2.598834,0.3834566,1.011129,4.846562,4.714108,123.7607,129.4565,25.36778,24.99871,14.10788586,8.7,78.44909456,296.210991,86,87
Peru,1.267182,5.245844,0.7833122,0.6533876,4.82459,4.729167,120.7746,125.2429,25.84887,24.27281,16.0072864,4.8,102.8142721,251.723106,95,95
Philippines,0.1991602,4.425923,0.4584707,3.922125,4.85752,4.685691,122.4797,125.7407,23.00286,22.51297,5.94065491,2.8,28.16312659,70.92003161,82,79
Poland,0.9212311,2.707954,3.674125,7.350277,5.206347,5.273796,130.0524,133.8972,25.7373,26.10348,10.18839875,6.3,328.4688967,732.688083,98,99
Portugal,0.866878,0.33266,0.591529,4.268473,5.236896,5.255559,129.172,135.1309,25.9666,26.23559,14.94990816,9.3,1185.939376,1779.587837,93,98
Qatar,0,2.096345,0,1.150084,5.287628,5.200212,128.5114,130.68,28.3007,27.26179,6.11862022,2.8,873.9796816,2027.895908,99,96
Romania,1.814759,5.309081,4.841755,5.553517,4.968129,4.934442,129.3499,132.8372,24.94229,24.79496,10.77689112,5.7,119.3988996,398.4650727,98,98
Russia,7.936697,11.8665,39.63874,9.340448,5.144249,4.94323,128.4137,131.082,26.62801,25.17367,11.22308077,6,142.0484925,480.1860276,98,96
Rwanda,5.363191,17.66471,1.269018,4.290508,4.285954,4.052908,132.8907,133.4516,21.56031,22.00366,9.08360711,4.2,8.05469852,29.09480464,69,88
Samoa,4.464847,5.220551,3.713776,0.0459309,4.617674,4.497138,124.9739,131.3581,32.11163,29.34069,19.49564365,5.52869249,81.77659497,172.330118,99,96
Sao Tome and Principe,4.213184,2.303988,0.8380424,3.593869,4.284854,3.959525,134.3387,134.9578,23.95324,22.75203,9.1381642,9.86959833,58.68796333,108.4958083,85,92
Saudi Arabia,0.6874245,6.62988,1.431506,6.548616,4.991571,4.791471,127.3608,128.357,28.75728,27.19191,9.35717345,4.29718242,377.503749,756.3765556,97,95
Senegal,6.452428,6.626352,7.853686,5.054834,4.330656,4.08872,129.346,130.9783,23.53851,21.44909,9.687938,5.06424157,26.94947408,71.03177922,54,60
Seychelles,0.9147387,17.84135,0,1.094875,5.305575,5.251868,129.5054,135.5965,27.34049,24.82301,6.77179963,4.38333417,379.1487563,733.0578104,98,99
Sierra Leone,9.818634,16.06741,15.18214,8.029929,4.110871,3.809566,133.424,132.701,22.99407,21.96438,7.53364654,14.8586967,30.86195883,80.4338636,62,53
Singapore,0.1512431,0.4237915,0.1043679,3.900983,4.835357,5.109623,123.2673,128.0825,23.23321,23.78492,5.62662824,2.88423073,648.1996944,1018.669756,94,94
Slovak Republic,0.4714929,2.99772,2.611768,7.18152,5.177031,5.137808,130.4114,135.4213,26.10618,26.43238,11.12686842,5.62930119,256.03033,729.8825834,99,99
Slovenia,0.5829703,1.216012,1.525272,11.50085,5.274947,5.25207,130.9412,136.3886,26.39933,26.87825,13.68913648,8.62002958,999.6642132,1703.214729,93,93
Solomon Islands,4.081434,6.155058,2.97896,0.1221166,4.660989,4.489866,122.7114,125.1272,27.87472,26.55288,19.91099243,9.1706722,48.03735482,107.0959195,67,71
Somalia,6.203382,5.91463,2.095045,4.389216,4.362204,4.220293,129.8451,131.2334,22.18624,21.6351,10.84110853,6.292250719,502.7477099,688.9066451,45,40
South Africa,5.275811,2.831743,1.323733,4.493975,4.563033,4.42983,130.0713,131.6052,28.50839,25.01756,11.52721692,8.72038817,210.5423878,625.105259,65,70
Spain,0.3700893,1.194185,1.455005,2.119295,5.19105,5.313991,123.514,130.2692,26.07576,26.835,13.28496058,7.25041069,1204.473332,1745.044544,97,98
Sri Lanka,1.577134,4.779348,1.090028,3.83734,4.627639,4.471319,124.3827,127.3449,22.71949,21.56997,6.7011921,3.81825105,34.12795138,108.0219561,99,98
Sudan,4.880966,4.924545,2.067703,3.940754,4.520633,4.461005,128.1803,131.1555,22.50693,21.75247,7.69027833,3.58005233,14.96967666,49.18832497,58,60
Suriname,1.772964,10.07103,0,9.670567,4.742089,4.530742,124.5842,128.2185,26.92424,24.77476,11.22754491,7.1421666,160.6219275,347.9672956,73,73
Swaziland,4.797276,7.554778,4.644091,2.761676,4.571466,4.41838,130.7529,132.71,27.73696,22.48246,9.87711916,5.31636578,57.6481106,202.5336317,92,90
